term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
212555,1,6,1.1938801702473122e-06,19.675910528756244,NNP,1,{'NNP'},0,212555,212555,212555
2134,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,2134,2134,2134
214,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,214,214,214
215,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,215,215,215
217,2,3,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,217,217,217
2183,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2183,2183,2183
2198,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2198,2198,2198
21st,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,21st,21st,21st
22,34,2,4.059192578840862e-05,14.588447687505903,CD,4,"{'CD', 'NN', 'NNP', 'JJ'}",0,22,22,22
22350,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,22350,22350,22350
224,1,3,1.1938801702473122e-06,19.675910528756244,NN,1,{'NN'},0,224,224,224
225,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,225,225,225
22nd,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,22nd,22nd,22nd
23,16,2,1.9102082723956995e-05,15.675910528756242,CD,1,{'CD'},0,23,23,23
2304,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2304,2304,2304
237,12,3,1.4326562042967747e-05,16.090948028035086,CD,1,{'CD'},0,237,237,237
238,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,238,238,238
24,20,2,2.3877603404946247e-05,15.35398243386888,CD,1,{'CD'},0,24,24,24
2455,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,2455,2455,2455
24a,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,24a,24a,24a
24th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,24th,24th,24th
25,22,2,2.626536374544087e-05,15.216478910118946,CD,1,{'CD'},0,25,25,25
250,1,3,1.1938801702473122e-06,19.675910528756244,NNP,1,{'NNP'},0,250,250,250
2500,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2500,2500,2500
2590,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,2590,2590,2590
25th,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,25th,25th,25th
26,17,2,2.029596289420431e-05,15.588447687505903,CD,1,{'CD'},0,26,26,26
27,16,2,1.9102082723956995e-05,15.675910528756242,CD,2,"{'CD', 'NN'}",0,27,27,27
28,19,2,2.2683723234698932e-05,15.427983015312657,CD,1,{'CD'},0,28,28,28
29,24,2,2.8653124085935495e-05,15.090948028035086,CD,2,"{'CD', 'NNP'}",0,29,29,29
292,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,292,292,292
29a,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,29a,29a,29a
29th,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,29th,29th,29th
2l,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2l,2l,2l
2nd,12,3,1.4326562042967747e-05,16.090948028035086,CD,2,"{'CD', 'NNP'}",0,2nd,2nd,2nd
2s,2,2,2.3877603404946244e-06,18.675910528756244,NNP,2,"{'CD', 'NNP'}",0,2s,2s,2s
2v0,1,3,1.1938801702473122e-06,19.675910528756244,NN,1,{'NN'},0,2v0,2v0,2v0
