term_str,n,n_chars,p,i,pos_group,n_pos
127,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
128,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
129,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
13,4,2,2.143863993268267e-05,15.509427090311483,CD,1
130,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
131,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
132,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
133,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
134,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
135,1,3,5.359659983170668e-06,17.509427090311483,CD,1
136,1,3,5.359659983170668e-06,17.509427090311483,CD,1
137,1,3,5.359659983170668e-06,17.509427090311483,CD,1
138,1,3,5.359659983170668e-06,17.509427090311483,CD,1
139,1,3,5.359659983170668e-06,17.509427090311483,CD,1
13th,1,4,5.359659983170668e-06,17.509427090311483,CD,1
14,5,2,2.679829991585334e-05,15.187498995424122,CD,1
140,1,3,5.359659983170668e-06,17.509427090311483,CD,1
141,1,3,5.359659983170668e-06,17.509427090311483,CD,1
142,1,3,5.359659983170668e-06,17.509427090311483,CD,1
143,1,3,5.359659983170668e-06,17.509427090311483,CD,1
144,1,3,5.359659983170668e-06,17.509427090311483,CD,1
145,1,3,5.359659983170668e-06,17.509427090311483,CD,1
146,1,3,5.359659983170668e-06,17.509427090311483,CD,1
14672,1,5,5.359659983170668e-06,17.509427090311483,CD,1
147,1,3,5.359659983170668e-06,17.509427090311483,CD,1
149,1,3,5.359659983170668e-06,17.509427090311483,CD,1
15,4,2,2.143863993268267e-05,15.509427090311483,CD,2
151,1,3,5.359659983170668e-06,17.509427090311483,CD,1
152,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
159,1,3,5.359659983170668e-06,17.509427090311483,CD,1
15th,1,4,5.359659983170668e-06,17.509427090311483,CD,1
16,5,2,2.679829991585334e-05,15.187498995424122,CD,3
167,1,3,5.359659983170668e-06,17.509427090311483,NN,1
16the,1,5,5.359659983170668e-06,17.509427090311483,CD,1
17,4,2,2.143863993268267e-05,15.509427090311483,CD,4
179,1,3,5.359659983170668e-06,17.509427090311483,CD,1
18,3,2,1.6078979949512003e-05,15.924464589590327,CD,4
180,5,3,2.679829991585334e-05,15.187498995424122,CD,2
183,1,3,5.359659983170668e-06,17.509427090311483,CD,1
186,1,3,5.359659983170668e-06,17.509427090311483,CD,1
187,1,3,5.359659983170668e-06,17.509427090311483,CD,1
18i,1,3,5.359659983170668e-06,17.509427090311483,CD,1
19,4,2,2.143863993268267e-05,15.509427090311483,CD,1
1907,2,4,1.0719319966341335e-05,16.509427090311483,CD,1
1909,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1910,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1921,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1944,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1953,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1957right,1,9,5.359659983170668e-06,17.509427090311483,CD,1
1958,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1965,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1967,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1968,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1970,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1971,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1974,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1981,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1984,1,4,5.359659983170668e-06,17.509427090311483,CD,1
1ining,1,6,5.359659983170668e-06,17.509427090311483,VBG,1
1os,1,3,5.359659983170668e-06,17.509427090311483,NN,1
